Sentiment,Sentence,preprocess_libyan_arabic,Processed_Text_base_ai
positive,ايقولو الحديث ان طال ضاع مقامه,ايقولو حديث ان طال ضاع مقام,يقول حديث طال ضاع مقام
positive,ايقولو بني,ايقولو بني,يقول بنى
negative,ايقولو من بعضهم ملو,ايقولو بعضهم ملو,يقول بعض مل
negative,ايقولو انهم  ديما اسياد الدولة,ايقولو انهم ديما اسياد دول,يقول اسياد دول
positive,و فيه من اللي بيقولك نبيها,فيه يقو نبيها,فيه قول نبي
negative,يقهر قهر جابنه اقدار,يقهر قهر جابن اقدار,يقهر قهر جابن اقدار
negative,و يقسى اللي كاين عليك حنون,يقس كاين عليك حنون,يقس كان حنون
positive,يفيض العلوق,يفيض علوق,يفيض علوق
positive,يفيض خيره عقب الشحوح,يفيض خير عقب شحوح,يفيض خير عقب شح
positive,يفوح القلب و يظلل اجنانه,يفوح قلب يظلل اجنان,يفوح قلب ظلل اجنان
positive,يفهمهن و يسمر كي مثيل أسمورك,يفهمهن يسمر كي مثيل اسمور,يفهم سمر مثل سمر
negative,و من يفهم الآهات في نظرتنا,يفهم الاهات نظر,يفهم اهات نظر
positive,يفزو درك قبل اكبارك,يفزو درك اكبار,يفزو درك كبار
positive,يفزع و يكون حذاك و يداويك,يفزع يكون حذا يداو,يفزع كون حذا دوا
positive,يفزع معاك اوقات تعبى عليه,يفزع معاك اوق تعب,يفزع عون تعب
positive,اللي كان يفزعلي و ديما واتي,يفزع ديما واتي,يفزع ديما واتي
positive,يفزع و يجيب تواصيف,يفزع يجيب تواصيف,يفزع جاب تواصيف
positive,و لا يفز في اوان ضيقك,يفز اوان ضيق,يفز اوان ضيق
negative,اللي يفرح في طعن قفانا,يفرح طعن قفا,يفرح طعن قفا
negative,هم يفرحوا في شوفتك منكوب,يفرح شوف كوب,يفرح شوف كوب
negative,اللي يفرحو في زعلتي و شتاتي,يفرحو زعل شتاتي,يفرح زعل شتات
negative,يفرح إليا زادن احزاني و لوعي,يفرح اليا زادن احزا لوعي,يفرح زادن احزا لوع
positive,يفرح كي بروحي نمشيله,يفرح كي روح نمشيل,يفرح روح مشى
negative,يفرح بدمعك كان صار اشبوب,يفرح دمع صار اشبوب,يفرح دمع صار اشبوب
negative,اللي يفتفت عني ايوصلها,يفتف عني ايوصل,يفتف وصل
positive,ايفارق فراقه يوم ما يوجعني,ايفارق راق يوم يوجع,يفارق راق يوم يوجع
positive,ما يغيبن عليه عمات لا خالات,يغيبن عمات خالات,يغيب عم عم خال خال
positive,اللي كان يغلبني بحنانه و حنه,يغلب حنان حنه,يغلب حنان حنه
positive,يغفر له و لي كل الغوالي,يغفر له لي كل الغوالي,يغفر غالي
positive,و يغفر ليك و ايطيب ثراك,يغفر ليك ايطيب ثرا,يغفر طيب ثرى
positive,و يغفر ذنوب النفس يوم حسابها,يغفر ذنوب نفس يوم حساب,يغفر ذنب نفس يوم حساب
positive,و يغفر كل اذنوب ضنانا,يغفر كل اذنوب ضنانا,يغفر ذنب ضنى
negative,يغض الطرف ما يسعى ف نجاك,يغض طرف يسع ف نجا,يغض طرف وسع نجا
positive,و يغشاه الزها و ترسم ليالي افراحه,يغشاه الزها ترسم ليالي افراح,يغشاه زها رسم ليل فرح
negative,يغرس فيك سهام خيانة,يغرس فيك سهام خيان,يغرس في سهام خيان
positive,لا يغريك م الناس زوق اثوابها,يغر م ناس زوق اثواب,يغر ناس زوق ثوب
positive,و ما يغريك في الدنيا المال,يغر دنيا المال,يغر دنيا مال
negative,ما يغتفر فايت خطاك احسابه,يغتفر فايت خطا احساب,يغتفر فايت خطا احساب
positive,و لا يغبطك لو تواتيك,يغبط لو تواتيك,يغبط تواتيك
negative,يغبى تبرك اجماله,يغب تبر اجم,يغب تبر اجم
positive,ايعود الوطن كيف عهده زمان,ايعود الوطن عهد زمان,يعود وطن عهد زمان
positive,و يعود الزها فجره يلوح,يعود الزها فجره يلوح,يعود زها فجر يلوح
positive,و ايعود الرجاء,ايعود رجاء,يعود رجا
positive,و لا انبيعو فللي ابحن شرانا,يعو فللي ابحن شرا,يعو فللي ابحن شر
positive,يعني ما مثلك بشر,يعني مثلك بشر,يعني مثل بشر
negative,و يعني أيضاً,يعني,يعني
positive,يعنقر لفوق الشنة,يعنقر لفوق الشنه,يعنقر فوق شن
negative,هذا يعني إن همي يمسي أكثر,يعني ان همي يمس,يعن هم مس
positive,هذا يعني إن حبي يصبح أكبر,يعني ان حبي يصبح اكبر,يعن حب صبح اكبر
positive,يعم الهنا فيه عفاه ايتحايا,يعم الهنا فيه عفاه ايتحايا,يعم هنا عفا تحيا
positive,يعم السلم,يعم سلم,يعم سلم
positive,و يعم الزها كل النواحي,يعم الزها كل نواح,يعم زها كل نوح
positive,يعم الدفئ عل الوطن  الوسيع,يعم الدفي عل الوطن سيع,يعم دفي عل وطن سيع
negative,لا ايعلق  لا يرد سؤالي,ايعلق يرد سوالي,يعلق رد سوال
negative,و يعكس فالقول اللي اتعله,يعكس قول اتعل,يعكس قول علم
positive,يعكر عليا جو فيه ركاحة,يعكر عليا جو فيه ركاح,يعكر جو ركاح
positive,و يعـقـل المذمـن فالحياة يذمنها,يعقل مذمن فالحياه يذمن,يعقل مذمن ف حياه يذمن
positive,و يعطينا و نديروا اعراس,يعط ندير اعراس,يعط ندر عرس
positive,فيك يعشقو راهو جميع احواسي,فيك يعشقو راهو جميع احواس,يعشقو جميع احواس
positive,و اللي يعشقك يشبح السية زينة,يعشق يشبح السيه زينه,يعشق يشبح سيه زين
positive,ايعزوك لو كنهوا حضر براني,ايعزو لو كنهوا حضر براني,يعزو كنهو حضر براني
positive,و اللي يعزك ما يواطي عينه,يعز يواط عينه,يعز يواط عين
positive,لا يعرف خنس لا يريب,يعرف خنس يريب,يعرف خنس يريب
positive,و ما يعرفو إن التريس افعال,يعرفو ان تريس افع,يعرف تريس فعل
positive,ما ينعرف فارس الا بنخاوته,ينعرف ارس الا نخاو,يعرف ارس نخا
negative,ما يعدرني,يعدر,يعذر
negative,من يعذرني,يعذر,يعذر
positive,كانت يعدو فيها,يعدو فيها,يعدو فيه
negative,يعدوا قول عربهم,يعد قول عرب,يعد قول عرب
positive,و ما يعجبك يعجبني,يعجب يعجب,يعجب يعجب
negative,اللي يعجبه ايقدم ايجي ايماكسنا,يعجب ايقدم ايج ايماكس,يعجب قدم جا يماكس
negative,و لو كان ما يعجبها,لو يعجب,يعجب
positive,و يعاود اللي عاف الديار ازاحى,يعاود عاف ديار ازاح,يعاود عاف ديار ازاح
positive,و اللي يعافنا عنه الله يغنينا,يعاف عنه الله يغنينا,يعاف الله يغني
negative,يعاني م الجرح تساطير,يعا م جرح تساطير,يعا م جرح سطر
positive,ايعيش الغلا بالقدر و الحنية,ايع غلا بالقدر الحنيه,يع غلا قدر حنيه
positive,يظهر حنون و طيب,يظهر حنون طيب,يظهر حنون طيب
negative,لا يظلم مكاني,يظلم مكا,يظلم مكه
positive,ايظلل على للي عابرين شجرنا,ايظلل للي عابر شجر,يظلل عابر شجر
negative,يظلوا أكبر مكسورين,يظل اكبر مكسور,يظل كبر كسر
negative,لا يطيقها الطايش و لا اللي دين,يطيق الطايش دين,يطيق طيش دين
positive,أنه يطير و يرقى لفوق,انه يطير يرق لفوق,يطير يرق فوق
negative,يطير نومها ما يداني,يطير نوم يدا,يطير نوم يد
negative,يطير نومها ايجافي,يطير نوم ايجاف,يطير نوم اجاف
positive,يطيب الحديث و تفهمه مضمونه,يطيب حديث تفهمه مضمون,يطيب حديث فهم مضمون
negative,يا يطولها يا يفوتها و ينساها,يا يطول يا يفو ينسا,يطول يفو ينسى
negative,ما ايطوله الانسان العادي,ايطول نسان عاد,يطول نسي عاد
positive,يطول الله ف عمر الغوالي,يطول الله ف عمر الغوالي,يطول الله عمر غالي
positive,و نحن مانا من اللي يطمعو فعطايا,مانا يطمعو عطايا,يطمع عطا
positive,و لا يطلب من الرخيص لقيمة,يطلب رخيص قيم,يطلب رخيص قيم
positive,و يضوي عليه المساكن,يضو مسا,يضوي مسا
positive,و من كان يضحك باينات اسنونه,يضح باينات اسنون,يضح بين سن
negative,يضاهروا راهم دواك و طبك,يضاهر راهم دواك طبك,يضاهر دوا طب
negative,يصيف م العطش يبقى حطب و قادي,يصيف م العطش يبق حطب قاد,يصيف عطش يبقى حطب قاد
negative,ايصير فحل متخصص قوي ف اشناك,ايصير فحل متخصص قوي ف اشناك,يصير فحل متخصص قوي اشناك
negative,قبل ما ايصير العزل عازل حالي,ايصير عزل عازل حالي,يصير عزل عزل حال
positive,لا ميصـير  متشـتت اتنـين,ميصير متشتت اتن,يصير تشتت
negative,يصيبك من شلة لاوغاد,يصيب شله اوغاد,يصيب شله اوغاد
positive,يصون الود يكتملك السر,يصون الود يكتم السر,يصون ود يكتم سر
negative,علي ما يصولوا بالخبر و يجولوا,يصول خبر يجول,يصول خبر يجول
positive,اللي يصونا انعلوا لفوق مكانه,يصو انعلوا لفوق مكان,يصو نعل فوق مكان
positive,ايصفق  ان جيتي يا غلا يالايا,ايصفق ان جيتي يا غلا,يصفق جي غلا
positive,ايصفي للمتعكر جوه,ايصف متعكر جوه,يصف تعكر جو
